transaction_id,date,persona,occupation,transaction_type,category,description,amount_inr,payment_method,recurring,balance_inr
ME-20260419-E098,2026-04-19,Meena,beautician,expense,school,School fees/supplies,276,UPI,no,515.0
ME-20260420-E099,2026-04-20,Meena,beautician,expense,food,Tea/snacks,129,cash,no,386.0
ME-20260421-E100,2026-04-21,Meena,beautician,expense,school,School fees/supplies,135,UPI,no,251.0
ME-20260424-E101,2026-04-24,Meena,beautician,expense,cooking_gas,LPG cylinder,87,UPI,yes,164.0
ME-20260425-E103,2026-04-25,Meena,beautician,expense,food,Tea/snacks,131,cash,no,772.0
ME-20260425-I102,2026-04-25,Meena,beautician,income,work_income,home salon payment,739,UPI,yes,903.0
ME-20260427-E104,2026-04-27,Meena,beautician,expense,medicine,Pharmacy,270,UPI,no,502.0
ME-20260428-E105,2026-04-28,Meena,beautician,expense,school,School fees/supplies,175,UPI,no,327.0
ME-20260429-E106,2026-04-29,Meena,beautician,expense,school,School fees/supplies,114,UPI,no,213.0
ME-20260501-E107,2026-05-01,Meena,beautician,expense,vegetables,Vegetable market,74,cash,no,139.0
ME-20260502-E108,2026-05-02,Meena,beautician,expense,transport,Bus/auto fare,48,cash,no,91.0
ME-20260503-E109,2026-05-03,Meena,beautician,expense,groceries,Kirana groceries,31,UPI,no,60.0
ME-20260504-I110,2026-05-04,Meena,beautician,income,work_income,home salon payment,575,UPI,yes,635.0
ME-20260505-E111,2026-05-05,Meena,beautician,expense,cooking_gas,LPG cylinder,222,UPI,yes,413.0
ME-20260506-E112,2026-05-06,Meena,beautician,expense,cooking_gas,LPG cylinder,144,UPI,yes,269.0
ME-20260507-E113,2026-05-07,Meena,beautician,expense,vegetables,Vegetable market,94,cash,no,175.0
ME-20260510-E114,2026-05-10,Meena,beautician,expense,school,School fees/supplies,61,UPI,no,114.0
ME-20260511-E116,2026-05-11,Meena,beautician,expense,school,School fees/supplies,324,UPI,no,603.0
ME-20260511-I115,2026-05-11,Meena,beautician,income,work_income,bridal makeup advance,813,bank_transfer,yes,927.0
ME-20260512-E117,2026-05-12,Meena,beautician,expense,vegetables,Vegetable market,152,cash,no,451.0
ME-20260513-E118,2026-05-13,Meena,beautician,expense,medicine,Pharmacy,157,UPI,no,294.0
ME-20260514-E119,2026-05-14,Meena,beautician,expense,transport,Bus/auto fare,102,cash,no,192.0
ME-20260515-E120,2026-05-15,Meena,beautician,expense,food,Tea/snacks,67,cash,no,125.0
ME-20260517-E121,2026-05-17,Meena,beautician,expense,food,Tea/snacks,43,cash,no,82.0
ME-20260518-E123,2026-05-18,Meena,beautician,expense,cooking_gas,LPG cylinder,274,UPI,yes,511.0
ME-20260518-I122,2026-05-18,Meena,beautician,income,work_income,bridal makeup advance,703,bank_transfer,yes,785.0
ME-20260520-E124,2026-05-20,Meena,beautician,expense,mobile,Mobile recharge,178,UPI,yes,333.0
ME-20260520-E125,2026-05-20,Meena,beautician,expense,school,School fees/supplies,116,UPI,no,217.0
ME-20260522-E126,2026-05-22,Meena,beautician,expense,food,Tea/snacks,75,cash,no,142.0
ME-20260524-E127,2026-05-24,Meena,beautician,expense,mobile,Mobile recharge,49,UPI,yes,93.0
ME-20260525-I128,2026-05-25,Meena,beautician,income,work_income,beauty service payment,892,UPI,yes,985.0
ME-20260527-E129,2026-05-27,Meena,beautician,expense,electricity,Electricity bill,344,UPI,yes,641.0
ME-20260528-E130,2026-05-28,Meena,beautician,expense,school,School fees/supplies,224,UPI,no,417.0
ME-20260529-E131,2026-05-29,Meena,beautician,expense,food,Tea/snacks,145,cash,no,272.0
ME-20260530-E132,2026-05-30,Meena,beautician,expense,school,School fees/supplies,95,UPI,no,177.0
ME-20260531-E133,2026-05-31,Meena,beautician,expense,food,Tea/snacks,51,cash,no,126.0
ME-20260601-E134,2026-06-01,Meena,beautician,expense,cooking_gas,LPG cylinder,44,UPI,yes,82.0
ME-20260602-E135,2026-06-02,Meena,beautician,expense,school,School fees/supplies,30,UPI,no,52.0
ME-20260603-E136,2026-06-03,Meena,beautician,expense,vegetables,Vegetable market,30,cash,no,22.0
ME-20260604-E138,2026-06-04,Meena,beautician,expense,cooking_gas,LPG cylinder,292,UPI,yes,543.0
ME-20260604-I137,2026-06-04,Meena,beautician,income,work_income,beauty service payment,813,cash,yes,835.0
ME-20260606-E139,2026-06-06,Meena,beautician,expense,medicine,Pharmacy,190,UPI,no,353.0
ME-20260606-E140,2026-06-06,Meena,beautician,expense,electricity,Electricity bill,123,UPI,yes,230.0
ME-20260608-E141,2026-06-08,Meena,beautician,expense,transport,Bus/auto fare,80,cash,no,150.0
ME-20260609-E142,2026-06-09,Meena,beautician,expense,mobile,Mobile recharge,52,UPI,yes,98.0
ME-20260610-E143,2026-06-10,Meena,beautician,expense,medicine,Pharmacy,34,UPI,no,64.0
ME-20260611-I144,2026-06-11,Meena,beautician,income,work_income,bridal makeup advance,795,UPI,yes,859.0
ME-20260612-E145,2026-06-12,Meena,beautician,expense,vegetables,Vegetable market,102,cash,no,757.0
ME-20260615-E146,2026-06-15,Meena,beautician,expense,cooking_gas,LPG cylinder,264,UPI,yes,493.0
ME-20260616-E147,2026-06-16,Meena,beautician,expense,school,School fees/supplies,172,UPI,no,321.0
ME-20260617-E148,2026-06-17,Meena,beautician,expense,school,School fees/supplies,112,UPI,no,209.0
ME-20260618-E150,2026-06-18,Meena,beautician,expense,mobile,Mobile recharge,270,UPI,yes,838.0
ME-20260618-I149,2026-06-18,Meena,beautician,income,work_income,beauty service payment,899,bank_transfer,yes,1108.0
ME-20260622-E151,2026-06-22,Meena,beautician,expense,medicine,Pharmacy,216,UPI,no,622.0
ME-20260623-E152,2026-06-23,Meena,beautician,expense,cooking_gas,LPG cylinder,217,UPI,yes,405.0
ME-20260624-E153,2026-06-24,Meena,beautician,expense,vegetables,Vegetable market,141,cash,no,264.0
ME-20260625-E155,2026-06-25,Meena,beautician,expense,electricity,Electricity bill,364,UPI,yes,678.0
ME-20260625-I154,2026-06-25,Meena,beautician,income,work_income,bridal makeup advance,778,cash,yes,1042.0
ME-20260626-E156,2026-06-26,Meena,beautician,expense,transport,Bus/auto fare,110,cash,no,568.0
ME-20260627-E157,2026-06-27,Meena,beautician,expense,transport,Bus/auto fare,125,cash,no,443.0
ME-20260628-E158,2026-06-28,Meena,beautician,expense,school,School fees/supplies,155,UPI,no,288.0
ME-20260629-E159,2026-06-29,Meena,beautician,expense,transport,Bus/auto fare,100,cash,no,188.0
ME-20260630-E160,2026-06-30,Meena,beautician,expense,transport,Bus/auto fare,65,cash,no,123.0
RA-20260101-I001,2026-01-01,Radha,tailoring,income,work_income,dress alteration,389,UPI,yes,4589.0
RA-20260102-E002,2026-01-02,Radha,tailoring,expense,vegetables,Vegetable market,211,cash,no,4378.0
RA-20260102-E003,2026-01-02,Radha,tailoring,expense,school,School fees/supplies,332,UPI,no,4046.0
RA-20260105-E004,2026-01-05,Radha,tailoring,expense,electricity,Electricity bill,1328,UPI,yes,2718.0
RA-20260108-E006,2026-01-08,Radha,tailoring,expense,cooking_gas,LPG cylinder,902,UPI,yes,2203.0
RA-20260108-I005,2026-01-08,Radha,tailoring,income,work_income,school uniform stitching,387,bank_transfer,yes,3105.0
RA-20260109-E007,2026-01-09,Radha,tailoring,expense,cooking_gas,LPG cylinder,771,UPI,yes,1432.0
RA-20260110-E008,2026-01-10,Radha,tailoring,expense,medicine,Pharmacy,501,UPI,no,931.0
RA-20260111-E009,2026-01-11,Radha,tailoring,expense,vegetables,Vegetable market,201,cash,no,730.0
RA-20260111-E010,2026-01-11,Radha,tailoring,expense,electricity,Electricity bill,255,UPI,yes,475.0
RA-20260112-E011,2026-01-12,Radha,tailoring,expense,cooking_gas,LPG cylinder,166,UPI,yes,309.0
RA-20260112-E012,2026-01-12,Radha,tailoring,expense,mobile,Mobile recharge,108,UPI,yes,201.0
RA-20260113-E013,2026-01-13,Radha,tailoring,expense,electricity,Electricity bill,70,UPI,yes,131.0
RA-20260115-E015,2026-01-15,Radha,tailoring,expense,electricity,Electricity bill,203,UPI,yes,377.0
RA-20260115-I014,2026-01-15,Radha,tailoring,income,work_income,salwar stitching,449,UPI,yes,580.0
RA-20260117-E016,2026-01-17,Radha,tailoring,expense,transport,Bus/auto fare,131,cash,no,246.0
RA-20260120-E017,2026-01-20,Radha,tailoring,expense,groceries,Kirana groceries,86,UPI,no,160.0
RA-20260122-E019,2026-01-22,Radha,tailoring,expense,food,Tea/snacks,110,cash,no,395.0
RA-20260122-E020,2026-01-22,Radha,tailoring,expense,mobile,Mobile recharge,138,UPI,yes,257.0
RA-20260122-I018,2026-01-22,Radha,tailoring,income,work_income,school uniform stitching,345,bank_transfer,yes,505.0
RA-20260123-E021,2026-01-23,Radha,tailoring,expense,medicine,Pharmacy,89,UPI,no,168.0
RA-20260123-E022,2026-01-23,Radha,tailoring,expense,electricity,Electricity bill,58,UPI,yes,110.0
RA-20260124-E023,2026-01-24,Radha,tailoring,expense,electricity,Electricity bill,38,UPI,yes,72.0
RA-20260125-E024,2026-01-25,Radha,tailoring,expense,school,School fees/supplies,30,UPI,no,42.0
RA-20260125-E025,2026-01-25,Radha,tailoring,expense,mobile,Mobile recharge,30,UPI,yes,12.0
RA-20260126-E026,2026-01-26,Radha,tailoring,expense,groceries,Kirana groceries,30,UPI,no,-18.0
RA-20260127-E027,2026-01-27,Radha,tailoring,expense,school,School fees/supplies,30,UPI,no,-48.0
RA-20260128-I028,2026-01-28,Radha,tailoring,income,work_income,salwar stitching,468,cash,yes,420.0
RA-20260201-E030,2026-02-01,Radha,tailoring,expense,electricity,Electricity bill,297,UPI,yes,552.0
RA-20260201-I029,2026-02-01,Radha,tailoring,income,work_income,salwar stitching,429,bank_transfer,yes,849.0
RA-20260202-E031,2026-02-02,Radha,tailoring,expense,vegetables,Vegetable market,193,cash,no,359.0
RA-20260203-E032,2026-02-03,Radha,tailoring,expense,food,Tea/snacks,80,cash,no,279.0
RA-20260208-E034,2026-02-08,Radha,tailoring,expense,food,Tea/snacks,50,cash,no,558.0
RA-20260208-I033,2026-02-08,Radha,tailoring,income,work_income,salwar stitching,329,bank_transfer,yes,608.0
RA-20260209-E035,2026-02-09,Radha,tailoring,expense,vegetables,Vegetable market,195,cash,no,363.0
RA-20260212-E036,2026-02-12,Radha,tailoring,expense,food,Tea/snacks,127,cash,no,236.0
RA-20260215-E038,2026-02-15,Radha,tailoring,expense,cooking_gas,LPG cylinder,204,UPI,yes,381.0
RA-20260215-I037,2026-02-15,Radha,tailoring,income,work_income,dress alteration,349,cash,yes,585.0
RA-20260216-E039,2026-02-16,Radha,tailoring,expense,vegetables,Vegetable market,133,cash,no,248.0
RA-20260217-E040,2026-02-17,Radha,tailoring,expense,food,Tea/snacks,86,cash,no,162.0
RA-20260218-E041,2026-02-18,Radha,tailoring,expense,groceries,Kirana groceries,56,UPI,no,106.0
RA-20260219-E042,2026-02-19,Radha,tailoring,expense,cooking_gas,LPG cylinder,37,UPI,yes,69.0
RA-20260220-E043,2026-02-20,Radha,tailoring,expense,medicine,Pharmacy,30,UPI,no,39.0
RA-20260221-E044,2026-02-21,Radha,tailoring,expense,food,Tea/snacks,30,cash,no,9.0
RA-20260222-E046,2026-02-22,Radha,tailoring,expense,school,School fees/supplies,98,UPI,no,182.0
RA-20260222-I045,2026-02-22,Radha,tailoring,income,work_income,dress alteration,271,UPI,yes,280.0
RA-20260223-E047,2026-02-23,Radha,tailoring,expense,vegetables,Vegetable market,63,cash,no,119.0
RA-20260224-E048,2026-02-24,Radha,tailoring,expense,vegetables,Vegetable market,41,cash,no,78.0
RA-20260225-E049,2026-02-25,Radha,tailoring,expense,transport,Bus/auto fare,30,cash,no,48.0
RA-20260226-E050,2026-02-26,Radha,tailoring,expense,vegetables,Vegetable market,30,cash,no,18.0
RA-20260228-E052,2026-02-28,Radha,tailoring,expense,groceries,Kirana groceries,154,UPI,no,286.0
RA-20260228-I051,2026-02-28,Radha,tailoring,income,work_income,blouse stitching,422,UPI,yes,440.0
RA-20260301-E054,2026-03-01,Radha,tailoring,expense,groceries,Kirana groceries,264,UPI,no,552.0
RA-20260301-I053,2026-03-01,Radha,tailoring,income,work_income,school uniform stitching,530,bank_transfer,yes,816.0
RA-20260302-E055,2026-03-02,Radha,tailoring,expense,electricity,Electricity bill,193,UPI,yes,359.0
RA-20260302-E056,2026-03-02,Radha,tailoring,expense,medicine,Pharmacy,125,UPI,no,234.0
RA-20260303-E057,2026-03-03,Radha,tailoring,expense,medicine,Pharmacy,81,UPI,no,153.0
RA-20260304-E058,2026-03-04,Radha,tailoring,expense,groceries,Kirana groceries,53,UPI,no,100.0
RA-20260306-E059,2026-03-06,Radha,tailoring,expense,groceries,Kirana groceries,35,UPI,no,65.0
RA-20260307-E060,2026-03-07,Radha,tailoring,expense,transport,Bus/auto fare,30,cash,no,35.0
RA-20260308-E062,2026-03-08,Radha,tailoring,expense,mobile,Mobile recharge,129,UPI,yes,241.0
RA-20260308-I061,2026-03-08,Radha,tailoring,income,work_income,blouse stitching,335,UPI,yes,370.0
RA-20260309-E063,2026-03-09,Radha,tailoring,expense,mobile,Mobile recharge,84,UPI,yes,157.0
RA-20260309-E064,2026-03-09,Radha,tailoring,expense,food,Tea/snacks,40,cash,no,117.0
RA-20260310-E065,2026-03-10,Radha,tailoring,expense,food,Tea/snacks,40,cash,no,77.0
RA-20260311-E066,2026-03-11,Radha,tailoring,expense,mobile,Mobile recharge,30,UPI,yes,47.0
RA-20260311-E067,2026-03-11,Radha,tailoring,expense,cooking_gas,LPG cylinder,30,UPI,yes,17.0
RA-20260312-E068,2026-03-12,Radha,tailoring,expense,electricity,Electricity bill,30,UPI,yes,-13.0
RA-20260313-E069,2026-03-13,Radha,tailoring,expense,vegetables,Vegetable market,30,cash,no,-43.0
RA-20260314-E070,2026-03-14,Radha,tailoring,expense,vegetables,Vegetable market,30,cash,no,-73.0
RA-20260315-I071,2026-03-15,Radha,tailoring,income,work_income,blouse stitching,414,UPI,yes,341.0
RA-20260317-E072,2026-03-17,Radha,tailoring,expense,electricity,Electricity bill,119,UPI,yes,222.0
RA-20260318-E073,2026-03-18,Radha,tailoring,expense,transport,Bus/auto fare,77,cash,no,145.0
RA-20260318-E074,2026-03-18,Radha,tailoring,expense,vegetables,Vegetable market,50,cash,no,95.0
RA-20260320-E075,2026-03-20,Radha,tailoring,expense,mobile,Mobile recharge,33,UPI,yes,62.0
RA-20260321-E076,2026-03-21,Radha,tailoring,expense,electricity,Electricity bill,30,UPI,yes,32.0
RA-20260322-E078,2026-03-22,Radha,tailoring,expense,groceries,Kirana groceries,171,UPI,no,318.0
RA-20260322-I077,2026-03-22,Radha,tailoring,income,work_income,blouse stitching,457,UPI,yes,489.0
RA-20260323-E079,2026-03-23,Radha,tailoring,expense,electricity,Electricity bill,111,UPI,yes,207.0
RA-20260325-E080,2026-03-25,Radha,tailoring,expense,groceries,Kirana groceries,72,UPI,no,135.0
RA-20260326-E081,2026-03-26,Radha,tailoring,expense,transport,Bus/auto fare,47,cash,no,88.0
RA-20260326-E082,2026-03-26,Radha,tailoring,expense,groceries,Kirana groceries,30,UPI,no,58.0
RA-20260327-E083,2026-03-27,Radha,tailoring,expense,school,School fees/supplies,30,UPI,no,28.0
RA-20260328-E085,2026-03-28,Radha,tailoring,expense,vegetables,Vegetable market,150,cash,no,347.0
RA-20260328-I084,2026-03-28,Radha,tailoring,income,work_income,blouse stitching,469,bank_transfer,yes,497.0
RA-20260331-E086,2026-03-31,Radha,tailoring,expense,transport,Bus/auto fare,90,cash,no,257.0
RA-20260401-E088,2026-04-01,Radha,tailoring,expense,cooking_gas,LPG cylinder,236,UPI,yes,440.0
RA-20260401-I087,2026-04-01,Radha,tailoring,income,work_income,dress alteration,419,bank_transfer,yes,676.0
RA-20260405-E089,2026-04-05,Radha,tailoring,expense,vegetables,Vegetable market,154,cash,no,286.0
RA-20260408-E091,2026-04-08,Radha,tailoring,expense,school,School fees/supplies,248,UPI,no,462.0
RA-20260408-I090,2026-04-08,Radha,tailoring,income,work_income,salwar stitching,424,UPI,yes,710.0
RA-20260409-E092,2026-04-09,Radha,tailoring,expense,electricity,Electricity bill,161,UPI,yes,301.0
RA-20260411-E093,2026-04-11,Radha,tailoring,expense,electricity,Electricity bill,105,UPI,yes,196.0
RA-20260412-E094,2026-04-12,Radha,tailoring,expense,groceries,Kirana groceries,68,UPI,no,128.0
RA-20260412-E095,2026-04-12,Radha,tailoring,expense,food,Tea/snacks,44,cash,no,84.0
RA-20260413-E096,2026-04-13,Radha,tailoring,expense,school,School fees/supplies,30,UPI,no,54.0
RA-20260415-I097,2026-04-15,Radha,tailoring,income,work_income,dress alteration,536,bank_transfer,yes,590.0
RA-20260417-E098,2026-04-17,Radha,tailoring,expense,mobile,Mobile recharge,206,UPI,yes,384.0
RA-20260418-E099,2026-04-18,Radha,tailoring,expense,cooking_gas,LPG cylinder,134,UPI,yes,250.0
RA-20260418-E100,2026-04-18,Radha,tailoring,expense,cooking_gas,LPG cylinder,87,UPI,yes,163.0
RA-20260420-E101,2026-04-20,Radha,tailoring,expense,electricity,Electricity bill,57,UPI,yes,106.0
RA-20260421-E102,2026-04-21,Radha,tailoring,expense,electricity,Electricity bill,37,UPI,yes,69.0
RA-20260422-E104,2026-04-22,Radha,tailoring,expense,groceries,Kirana groceries,183,UPI,no,341.0
RA-20260422-I103,2026-04-22,Radha,tailoring,income,work_income,dress alteration,455,cash,yes,524.0
RA-20260423-E105,2026-04-23,Radha,tailoring,expense,food,Tea/snacks,112,cash,no,229.0
RA-20260424-E106,2026-04-24,Radha,tailoring,expense,mobile,Mobile recharge,80,UPI,yes,149.0
RA-20260425-E107,2026-04-25,Radha,tailoring,expense,transport,Bus/auto fare,51,cash,no,98.0
RA-20260425-E108,2026-04-25,Radha,tailoring,expense,electricity,Electricity bill,34,UPI,yes,64.0
RA-20260426-E109,2026-04-26,Radha,tailoring,expense,vegetables,Vegetable market,30,cash,no,34.0
RA-20260427-E110,2026-04-27,Radha,tailoring,expense,mobile,Mobile recharge,30,UPI,yes,4.0
RA-20260428-I111,2026-04-28,Radha,tailoring,income,work_income,school uniform stitching,1006,cash,yes,1010.0
RA-20260429-E112,2026-04-29,Radha,tailoring,expense,food,Tea/snacks,79,cash,no,931.0
RA-20260430-E113,2026-04-30,Radha,tailoring,expense,school,School fees/supplies,325,UPI,no,606.0
RA-20260501-I114,2026-05-01,Radha,tailoring,income,work_income,blouse stitching,469,bank_transfer,yes,1075.0
RA-20260502-E115,2026-05-02,Radha,tailoring,expense,vegetables,Vegetable market,176,cash,no,899.0
RA-20260505-E116,2026-05-05,Radha,tailoring,expense,medicine,Pharmacy,314,UPI,no,585.0
RA-20260506-E117,2026-05-06,Radha,tailoring,expense,medicine,Pharmacy,204,UPI,no,381.0
RA-20260506-E118,2026-05-06,Radha,tailoring,expense,medicine,Pharmacy,133,UPI,no,248.0
RA-20260507-E119,2026-05-07,Radha,tailoring,expense,electricity,Electricity bill,86,UPI,yes,162.0
RA-20260508-E121,2026-05-08,Radha,tailoring,expense,electricity,Electricity bill,228,UPI,yes,426.0
RA-20260508-I120,2026-05-08,Radha,tailoring,income,work_income,school uniform stitching,492,cash,yes,654.0
RA-20260510-E122,2026-05-10,Radha,tailoring,expense,school,School fees/supplies,149,UPI,no,277.0
RA-20260511-E123,2026-05-11,Radha,tailoring,expense,school,School fees/supplies,96,UPI,no,181.0
RA-20260512-E124,2026-05-12,Radha,tailoring,expense,groceries,Kirana groceries,63,UPI,no,118.0
RA-20260514-E125,2026-05-14,Radha,tailoring,expense,groceries,Kirana groceries,41,UPI,no,77.0
RA-20260515-I126,2026-05-15,Radha,tailoring,income,work_income,salwar stitching,472,bank_transfer,yes,549.0
RA-20260521-E127,2026-05-21,Radha,tailoring,expense,medicine,Pharmacy,129,UPI,no,420.0
RA-20260522-E129,2026-05-22,Radha,tailoring,expense,transport,Bus/auto fare,166,cash,no,587.0
RA-20260522-I128,2026-05-22,Radha,tailoring,income,work_income,school uniform stitching,333,cash,yes,753.0
RA-20260523-E130,2026-05-23,Radha,tailoring,expense,food,Tea/snacks,36,cash,no,551.0
RA-20260524-E131,2026-05-24,Radha,tailoring,expense,medicine,Pharmacy,192,UPI,no,359.0
RA-20260525-E132,2026-05-25,Radha,tailoring,expense,mobile,Mobile recharge,125,UPI,yes,234.0
RA-20260526-E133,2026-05-26,Radha,tailoring,expense,school,School fees/supplies,81,UPI,no,153.0
RA-20260528-E135,2026-05-28,Radha,tailoring,expense,cooking_gas,LPG cylinder,203,UPI,yes,378.0
RA-20260528-E136,2026-05-28,Radha,tailoring,expense,vegetables,Vegetable market,70,cash,no,308.0
RA-20260528-I134,2026-05-28,Radha,tailoring,income,work_income,blouse stitching,428,cash,yes,581.0
RA-20260531-E137,2026-05-31,Radha,tailoring,expense,transport,Bus/auto fare,91,cash,no,217.0
RA-20260601-I138,2026-06-01,Radha,tailoring,income,work_income,blouse stitching,350,cash,yes,567.0
RA-20260602-E139,2026-06-02,Radha,tailoring,expense,cooking_gas,LPG cylinder,198,UPI,yes,369.0
RA-20260603-E140,2026-06-03,Radha,tailoring,expense,vegetables,Vegetable market,101,cash,no,268.0
RA-20260603-E141,2026-06-03,Radha,tailoring,expense,electricity,Electricity bill,93,UPI,yes,175.0
RA-20260604-E142,2026-06-04,Radha,tailoring,expense,food,Tea/snacks,61,cash,no,114.0
RA-20260604-E143,2026-06-04,Radha,tailoring,expense,school,School fees/supplies,39,UPI,no,75.0
RA-20260605-E144,2026-06-05,Radha,tailoring,expense,mobile,Mobile recharge,30,UPI,yes,45.0
RA-20260606-E145,2026-06-06,Radha,tailoring,expense,food,Tea/snacks,30,cash,no,15.0
RA-20260608-E147,2026-06-08,Radha,tailoring,expense,school,School fees/supplies,138,UPI,no,257.0
RA-20260608-I146,2026-06-08,Radha,tailoring,income,work_income,salwar stitching,380,UPI,yes,395.0
RA-20260609-E148,2026-06-09,Radha,tailoring,expense,cooking_gas,LPG cylinder,89,UPI,yes,168.0
RA-20260611-E149,2026-06-11,Radha,tailoring,expense,transport,Bus/auto fare,58,cash,no,110.0
RA-20260615-I150,2026-06-15,Radha,tailoring,income,work_income,salwar stitching,391,bank_transfer,yes,501.0
RA-20260617-E151,2026-06-17,Radha,tailoring,expense,mobile,Mobile recharge,175,UPI,yes,326.0
RA-20260617-E152,2026-06-17,Radha,tailoring,expense,medicine,Pharmacy,114,UPI,no,212.0
RA-20260618-E153,2026-06-18,Radha,tailoring,expense,groceries,Kirana groceries,74,UPI,no,138.0
RA-20260620-E154,2026-06-20,Radha,tailoring,expense,electricity,Electricity bill,48,UPI,yes,90.0
RA-20260621-E155,2026-06-21,Radha,tailoring,expense,electricity,Electricity bill,31,UPI,yes,59.0
RA-20260622-E157,2026-06-22,Radha,tailoring,expense,medicine,Pharmacy,224,UPI,no,417.0
RA-20260622-I156,2026-06-22,Radha,tailoring,income,work_income,school uniform stitching,582,bank_transfer,yes,641.0
RA-20260623-E158,2026-06-23,Radha,tailoring,expense,groceries,Kirana groceries,145,UPI,no,272.0
RA-20260624-E159,2026-06-24,Radha,tailoring,expense,mobile,Mobile recharge,95,UPI,yes,177.0
RA-20260627-E160,2026-06-27,Radha,tailoring,expense,electricity,Electricity bill,61,UPI,yes,116.0
RA-20260628-I161,2026-06-28,Radha,tailoring,income,work_income,blouse stitching,412,cash,yes,528.0
RA-20260630-E162,2026-06-30,Radha,tailoring,expense,medicine,Pharmacy,184,UPI,no,344.0
SU-20260103-E002,2026-01-03,Sunita,domestic help,expense,groceries,Kirana groceries,542,UPI,no,5126.0
SU-20260103-I001,2026-01-03,Sunita,domestic help,income,work_income,monthly housework payment,568,bank_transfer,yes,5668.0
SU-20260104-E003,2026-01-04,Sunita,domestic help,expense,groceries,Kirana groceries,463,UPI,no,4663.0
SU-20260105-E004,2026-01-05,Sunita,domestic help,expense,medicine,Pharmacy,205,UPI,no,4458.0
SU-20260105-E005,2026-01-05,Sunita,domestic help,expense,groceries,Kirana groceries,473,UPI,no,3985.0
SU-20260106-E006,2026-01-06,Sunita,domestic help,expense,cooking_gas,LPG cylinder,944,UPI,yes,3041.0
SU-20260108-E007,2026-01-08,Sunita,domestic help,expense,vegetables,Vegetable market,76,cash,no,2965.0
SU-20260108-E008,2026-01-08,Sunita,domestic help,expense,school,School fees/supplies,803,UPI,no,2162.0
SU-20260109-E009,2026-01-09,Sunita,domestic help,expense,groceries,Kirana groceries,257,UPI,no,1905.0
SU-20260110-I010,2026-01-10,Sunita,domestic help,income,work_income,cleaning work payment,595,UPI,yes,2500.0
SU-20260111-E011,2026-01-11,Sunita,domestic help,expense,food,Tea/snacks,87,cash,no,2413.0
SU-20260113-E012,2026-01-13,Sunita,domestic help,expense,electricity,Electricity bill,844,UPI,yes,1569.0
SU-20260113-E013,2026-01-13,Sunita,domestic help,expense,food,Tea/snacks,139,cash,no,1430.0
SU-20260114-E014,2026-01-14,Sunita,domestic help,expense,food,Tea/snacks,55,cash,no,1375.0
SU-20260116-E015,2026-01-16,Sunita,domestic help,expense,vegetables,Vegetable market,100,cash,no,1275.0
SU-20260117-E017,2026-01-17,Sunita,domestic help,expense,groceries,Kirana groceries,298,UPI,no,1580.0
SU-20260117-I016,2026-01-17,Sunita,domestic help,income,work_income,cleaning work payment,603,bank_transfer,yes,1878.0
SU-20260118-E018,2026-01-18,Sunita,domestic help,expense,medicine,Pharmacy,172,UPI,no,1408.0
SU-20260119-E019,2026-01-19,Sunita,domestic help,expense,food,Tea/snacks,80,cash,no,1328.0
SU-20260119-E020,2026-01-19,Sunita,domestic help,expense,school,School fees/supplies,417,UPI,no,911.0
SU-20260120-E021,2026-01-20,Sunita,domestic help,expense,electricity,Electricity bill,318,UPI,yes,593.0
SU-20260121-E022,2026-01-21,Sunita,domestic help,expense,electricity,Electricity bill,207,UPI,yes,386.0
SU-20260123-E023,2026-01-23,Sunita,domestic help,expense,vegetables,Vegetable market,135,cash,no,251.0
SU-20260124-E025,2026-01-24,Sunita,domestic help,expense,vegetables,Vegetable market,213,cash,no,689.0
SU-20260124-I024,2026-01-24,Sunita,domestic help,income,work_income,cleaning work payment,651,bank_transfer,yes,902.0
SU-20260125-E026,2026-01-25,Sunita,domestic help,expense,cooking_gas,LPG cylinder,241,UPI,yes,448.0
SU-20260126-E027,2026-01-26,Sunita,domestic help,expense,food,Tea/snacks,156,cash,no,292.0
SU-20260129-E028,2026-01-29,Sunita,domestic help,expense,groceries,Kirana groceries,102,UPI,no,190.0
SU-20260131-E029,2026-01-31,Sunita,domestic help,expense,electricity,Electricity bill,66,UPI,yes,124.0
SU-20260202-E030,2026-02-02,Sunita,domestic help,expense,vegetables,Vegetable market,43,cash,no,81.0
SU-20260203-E032,2026-02-03,Sunita,domestic help,expense,school,School fees/supplies,230,UPI,no,430.0
SU-20260203-I031,2026-02-03,Sunita,domestic help,income,work_income,monthly housework payment,579,bank_transfer,yes,660.0
SU-20260205-E033,2026-02-05,Sunita,domestic help,expense,electricity,Electricity bill,150,UPI,yes,280.0
SU-20260208-E034,2026-02-08,Sunita,domestic help,expense,medicine,Pharmacy,98,UPI,no,182.0
SU-20260208-E035,2026-02-08,Sunita,domestic help,expense,groceries,Kirana groceries,63,UPI,no,119.0
SU-20260209-E036,2026-02-09,Sunita,domestic help,expense,medicine,Pharmacy,41,UPI,no,78.0
SU-20260210-E038,2026-02-10,Sunita,domestic help,expense,electricity,Electricity bill,247,UPI,yes,460.0
SU-20260210-I037,2026-02-10,Sunita,domestic help,income,work_income,monthly housework payment,629,UPI,yes,707.0
SU-20260212-E039,2026-02-12,Sunita,domestic help,expense,food,Tea/snacks,91,cash,no,369.0
